iso,uhc_sci,cov_total_a1d_2021,cov_total_a1d_2022
PER,71.10895,0.1,0.9
PHL,58.21226,0.1,0.7
POL,82.00587,0.4,0.6
PRT,87.90821,0.5,0.9
QAT,76.42062,0.6,0.9
KOR,89.08912,0.3,0.9
MDA,70.75371,0.1,0.3
ROU,78.39335,0.2,0.4
RUS,79.15902,0.2,0.6
RWA,48.55309,0.0,0.7
KNA,78.95278,0.4,0.6
LCA,76.81477,0.2,0.3
VCT,68.83349,0.1,0.3
WSM,55.12797,0.3,1.0
SMR,77.1058,0.7,0.8
STP,58.78933,0.1,0.6
SAU,74.3674,0.5,0.8
SEN,50.08955,0.0,0.1
SRB,71.67236,0.4,0.5
SYC,74.57317,0.7,0.9
SLE,41.00435,0.0,0.3
SGP,88.51465,0.6,0.9
SVK,81.75445,0.4,0.5
SVN,84.35354,0.4,0.6
SLB,47.2799,0.0,0.4
SOM,26.79095,0.0,0.2
ZAF,70.9511,0.0,0.4
SSD,34.17734,0.0,0.1
ESP,85.25634,0.5,0.9
LKA,66.73998,0.1,0.8
SDN,43.53126,0.0,0.2
SUR,62.66269,0.3,0.5
SWE,85.24987,0.5,0.7
CHE,86.33576,0.5,0.7
SYR,64.12852,0.0,0.2
TJK,67.24715,0.0,0.5
THA,81.97846,0.1,0.8
TLS,52.30378,0.2,0.6
TGO,44.00792,0.0,0.3
TON,56.68787,0.3,0.8
TTO,75.0049,0.1,0.5
TUN,67.13705,0.1,0.6
TUR,75.58542,0.4,0.7
TKM,74.70721,0.1,0.6
TUV,52.40868,0.4,0.8
UGA,48.5671,0.0,0.4
UKR,75.50772,0.0,0.4
ARE,81.76567,0.0,1.0
GBR,87.80078,0.7,0.8
TZA,42.62791,,0.1
USA,85.72882,0.6,0.8
URY,81.52997,0.7,0.9
UZB,74.84127,0.1,0.6
VUT,46.99287,0.0,0.5
VEN,75.1346,0.0,0.8
VNM,68.08401,0.0,0.9
YEM,42.4872,0.0,0.0
ZMB,55.83556,0.0,0.4
ZWE,55.04284,0.0,0.4
