iso,secured_vaccines_pc,name_long,date,adm_tot_td_add_pc,del_dose_add_pc
SRB,1.08,Serbia,2023-09,0.971,1.402
SYC,2.91,Seychelles,2023-09,2.283,3.022
SLE,1.14,Sierra Leone,2023-09,1.148,1.288
SGP,2.67,Singapore,2023-09,2.616,2.787
SVK,6.69,Slovakia,2023-09,1.323,2.014
SVN,6.32,Slovenia,2023-09,1.443,3.708
SLB,1.5,Solomon Islands,2023-09,0.892,1.205
SOM,1.32,Somalia,2023-09,0.664,0.88
ZAF,1.17,South Africa,2023-09,0.656,0.721
SSD,1.21,South Sudan,2023-09,0.388,0.634
ESP,6.32,Spain,2023-09,2.384,4.54
LKA,2.59,Sri Lanka,2023-09,1.873,2.061
SDN,1.33,Sudan,2023-09,0.515,0.71
SUR,1.79,Suriname,2023-09,0.945,1.39
SWE,6.32,Sweden,2023-09,2.249,4.513
CHE,8.37,Switzerland,2023-09,1.936,2.412
SYR,1.3,Syrian Arab Republic,2023-09,0.291,0.775
TJK,1.74,Tajikistan,2023-09,1.979,2.234
TZA,0.84,United Republic of Tanzania,2023-09,0.659,0.799
THA,3.38,Thailand,2023-09,2.043,2.327
TLS,1.45,Timor-Leste,2023-09,1.532,1.794
TGO,1.57,Togo,2023-09,0.412,0.803
TKL,,Tokelau,2023-09,4.698,4.801
TON,2.11,Tonga,2023-09,1.937,2.224
TTO,2.71,Trinidad and Tobago,2023-09,1.136,1.711
TUN,1.98,Tunisia,2023-09,1.121,1.495
TUR,2.82,Turkey,2023-09,1.808,1.99
TKM,2.63,Turkmenistan,2023-09,2.162,2.474
TCA,,Turks and Caicos Islands,2023-09,1.909,2.1
TUV,2.19,Tuvalu,2023-09,2.271,3.425
ARE,2.74,United Arab Emirates,2023-09,2.52,2.772
UGA,1.38,Uganda,2023-09,0.577,1.269
GBR,6.69,United Kingdom of Great Britain and Northern Ireland,2023-09,2.228,3.2
UKR,3.05,Ukraine,2023-09,0.724,1.244
URY,2.75,Uruguay,2023-09,2.598,2.86
USA,3.97,United States of America,2023-09,2.021,3.003
UZB,2.06,Uzbekistan,2023-09,2.372,2.661
VUT,1.85,Vanuatu,2023-09,1.157,1.535
VEN,1.65,Venezuela (Bolivarian Republic of),2023-09,1.331,1.791
VNM,3.19,Viet Nam,2023-09,2.738,3.012
WLF,,Wallis and Futuna,2023-09,1.539,1.766
PSE,2.59,"occupied Palestinian territory, including east Jerusalem",2023-09,0.735,1.242
YEM,1.2,Yemen,2023-09,0.043,0.087
ZMB,1.37,Zambia,2023-09,0.741,1.238
ZWE,2.92,Zimbabwe,2023-09,0.938,1.212
