name_short,iso,region_who,status_who,status_covax,status_csc,income_group,pop,pop_hcw,pop_old
Mongolia,MNG,WPR,member,AMC,,LMIC,3278290.0,39938.0,575815.0
Northern Mariana Islands,MNP,WPR,territory,,,HIC,57557.0,,
Mozambique,MOZ,AFR,member,AMC,,LIC,31255435.0,111542.0,2853011.0
Mauritania,MRT,AFR,member,AMC,,LMIC,4649658.0,16874.0,523354.0
Montserrat,MSR,AMR,territory,,,Other,4999.0,,
Mauritius,MUS,AFR,member,SF,,UMIC,1271768.0,21815.0,243101.0
Malawi,MWI,AFR,member,AMC,CSC,LIC,19129952.0,29519.0,1689433.0
Malaysia,MYS,WPR,member,No,,UMIC,32365999.0,639617.0,3702369.0
Namibia,NAM,AFR,member,No,,UMIC,2540905.0,19318.0,146909.0
New Caledonia,NCL,WPR,territory,,,HIC,285498.0,,10240.0
Niger,NER,AFR,member,AMC,CSC,LIC,24206644.0,44228.0,2104176.0
Nigeria,NGA,AFR,member,AMC,CSC,LMIC,206139589.0,1109420.0,20606608.0
Nicaragua,NIC,AMR,member,AMC,,LMIC,6624554.0,59987.0,599714.0
Niue,NIU,WPR,member,No,,Other,1618.0,36.0,286.0
Netherlands,NLD,EUR,member,No,,HIC,17407585.0,1467661.0,4657170.0
Norway,NOR,EUR,member,No,,HIC,5367580.0,564302.0,1287072.0
Nepal,NPL,SEAR,member,AMC,,LMIC,29136808.0,68798.0,3693158.0
Nauru,NRU,WPR,member,SF,,HIC,10834.0,218.0,742.0
New Zealand,NZL,WPR,member,SF,,HIC,4822233.0,317226.0,813455.0
Oman,OMN,EMR,member,SF,,HIC,5106626.0,99901.0,234088.0
Pakistan,PAK,EMR,member,AMC,,LMIC,220892340.0,1148724.0,15408512.0
Panama,PAN,AMR,member,SF,,UMIC,4314767.0,102528.0,550050.0
Peru,PER,AMR,member,SF,,UMIC,32971854.0,389042.0,4270113.0
Philippines,PHL,WPR,member,AMC,,LMIC,109581078.0,549858.0,9861907.0
Palau,PLW,WPR,member,SF,,HIC,18092.0,364.0,1792.0
Papua New Guinea,PNG,WPR,member,AMC,CSC,LMIC,8947024.0,14292.0,1646256.0
Poland,POL,EUR,member,No,,HIC,37958138.0,1064293.0,9968194.0
Puerto Rico,PRI,AMR,associate-member,,,HIC,2860853.0,,797015.0
Portugal,PRT,EUR,member,No,,HIC,10295909.0,461765.0,3034934.0
Paraguay,PRY,AMR,member,SF,,UMIC,7132538.0,129342.0,729005.0
West Bank and Gaza,PSE,EMR,territory,AMC,,LMIC,5101414.0,,264251.0
French Polynesia,PYF,WPR,territory,,,HIC,280908.0,,39749.0
Qatar,QAT,EMR,member,SF,,HIC,2881053.0,34325.0,115128.0
Romania,ROU,EUR,member,No,,UMIC,19328838.0,412908.0,4978849.0
Russian Federation,RUS,EUR,member,No,,UMIC,145934460.0,5659036.0,33431826.0
Rwanda,RWA,AFR,member,AMC,,LIC,12952218.0,46465.0,1435495.0
Saudi Arabia,SAU,EMR,member,SF,,HIC,34813871.0,743145.0,2178076.0
Sudan,SDN,EMR,member,AMC,CSC,LIC,43849260.0,203322.0,6958106.0
Senegal,SEN,AFR,member,AMC,CSC,LMIC,16743927.0,65530.0,832868.0
Singapore,SGP,WPR,member,SF,,HIC,5850342.0,146302.0,841189.0
Saint Helena,SHN,AFR,territory,,,Other,6071.0,,
Solomon Islands,SLB,WPR,member,AMC,CSC,LMIC,686884.0,6031.0,58780.0
Sierra Leone,SLE,AFR,member,AMC,CSC,LIC,7976983.0,22983.0,811249.0
El Salvador,SLV,AMR,member,AMC,,LMIC,6486205.0,67857.0,800876.0
San Marino,SMR,EUR,member,SF,,HIC,33938.0,1697.0,9884.0
Somalia,SOM,EMR,member,AMC,CSC,LIC,15893222.0,12608.0,1080070.0
Serbia,SRB,EUR,member,SF,,UMIC,6926705.0,196066.0,2221992.0
South Sudan,SSD,AFR,member,AMC,CSC,LIC,11193725.0,58103.0,382809.0
Sao Tome & Principe,STP,AFR,member,AMC,,LMIC,219159.0,2194.0,24448.0
Suriname,SUR,AMR,member,SF,,UMIC,586632.0,8081.0,66327.0
Slovakia,SVK,EUR,member,No,,HIC,5457873.0,205285.0,1299213.0
Slovenia,SVN,EUR,member,No,,HIC,2095861.0,70812.0,587043.0
Sweden,SWE,EUR,member,No,,HIC,10327589.0,747436.0,2653352.0
Eswatini,SWZ,AFR,member,AMC,,LMIC,1160164.0,14530.0,120384.0
Sint Maarten,SXM,AMR,territory,,,HIC,42882.0,,
Seychelles,SYC,AFR,member,No,,HIC,98347.0,1064.0,13376.0
Syria,SYR,EMR,member,AMC,CSC,LIC,17500658.0,189680.0,2003191.0
Turks & Caicos Islands,TCA,AMR,territory,,,HIC,38718.0,,
Chad,TCD,AFR,member,AMC,CSC,LIC,16425864.0,31500.0,424973.0
Togo,TGO,AFR,member,AMC,,LIC,8278724.0,44425.0,870455.0
Thailand,THA,SEAR,member,No,,UMIC,69799978.0,683112.0,13962436.0
Tajikistan,TJK,EUR,member,AMC,,LMIC,9537642.0,90889.0,584617.0
Tokelau,TKL,WPR,associate-member,,,Other,1350.0,,
Turkmenistan,TKM,EUR,member,No,,UMIC,6031187.0,99117.0,514238.0
Timor-Leste,TLS,SEAR,member,AMC,,LMIC,1318445.0,5719.0,89349.0
Tonga,TON,WPR,member,AMC,,UMIC,105695.0,1026.0,6368.0
Trinidad & Tobago,TTO,AMR,member,SF,,HIC,1399488.0,35448.0,245641.0
Tunisia,TUN,EMR,member,AMC,,LMIC,11818619.0,103303.0,1652471.0
Turkey,TUR,EUR,member,No,,UMIC,84339067.0,1446821.0,11453050.0
Tuvalu,TUV,WPR,member,AMC,,UMIC,11792.0,239.0,1171.0
Tanzania,TZA,AFR,member,AMC,CSC,LMIC,59734218.0,215481.0,2628138.0
Uganda,UGA,AFR,member,AMC,CSC,LIC,45741007.0,135373.0,3474185.0
Ukraine,UKR,EUR,member,AMC,,LMIC,43733759.0,1241855.0,10447105.0
Uruguay,URY,AMR,member,SF,,HIC,3473730.0,138517.0,713402.0
United States of America,USA,AMR,member,No,,HIC,331002651.0,22440534.0,56719945.0
Uzbekistan,UZB,EUR,member,AMC,,LMIC,33469199.0,840120.0,2925212.0
Saint Vincent & The Grenadines,VCT,AMR,member,AMC,,UMIC,110940.0,1014.0,16824.0
Venezuela,VEN,AMR,member,SF,,UMIC,28435940.0,536427.0,3547021.0
British Virgin Islands,VGB,AMR,territory,,,HIC,30237.0,,
VietNam,VNM,WPR,member,AMC,,LMIC,97338579.0,581985.0,8058818.0
Vanuatu,VUT,WPR,member,AMC,,LMIC,307145.0,284.0,27830.0
Wallis & Futuna Islands,WLF,WPR,territory,,,Other,11246.0,,
Samoa,WSM,WPR,member,AMC,,LMIC,198414.0,880.0,16462.0
Kosovo,XKX,EUR,territory,AMC,,UMIC,1795666.0,,
Yemen,YEM,EMR,member,AMC,CSC,LIC,29825964.0,83935.0,1431744.0
South Africa,ZAF,AFR,member,No,,UMIC,59308690.0,1075564.0,5216144.0
Zambia,ZMB,AFR,member,AMC,CSC,LMIC,18383955.0,94617.0,1454770.0
Zimbabwe,ZWE,AFR,member,AMC,,LMIC,14862924.0,51323.0,1429104.0
