iso,income_group,pop,pop_hcw,pop_old,name
PER,UMIC,32971854.0,389042.0,4270113.0,Peru
PHL,LMIC,109581078.0,549858.0,9861907.0,Philippines
POL,HIC,37958138.0,1064293.0,9968194.0,Poland
PRT,HIC,10295909.0,461765.0,3034934.0,Portugal
PRI,HIC,2860853.0,,797015.0,Puerto Rico
QAT,HIC,2881053.0,34325.0,115128.0,Qatar
KOR,HIC,51269185.0,2080345.0,12394485.0,Republic of Korea
MDA,UMIC,4033963.0,73288.0,782943.0,Republic of Moldova
ROU,UMIC,19328838.0,412908.0,4978849.0,Romania
RUS,UMIC,145934460.0,5659036.0,33431826.0,Russian Federation
RWA,LIC,12952218.0,46465.0,1435495.0,Rwanda
SHN,Other,6071.0,,,Saint Helena
KNA,HIC,53192.0,2300.0,7642.0,Saint Kitts and Nevis
LCA,UMIC,183627.0,740.0,19521.0,Saint Lucia
VCT,UMIC,110940.0,1014.0,16824.0,Saint Vincent and the Grenadines
WSM,LMIC,198414.0,880.0,16462.0,Samoa
SMR,HIC,33938.0,1697.0,9884.0,San Marino
STP,LMIC,219159.0,2194.0,24448.0,Sao Tome and Principe
SAU,HIC,34813871.0,743145.0,2178076.0,Saudi Arabia
SEN,LMIC,16743927.0,65530.0,832868.0,Senegal
SRB,UMIC,6926705.0,196066.0,2221992.0,Serbia
SYC,HIC,98347.0,1064.0,13376.0,Seychelles
SLE,LIC,7976983.0,22983.0,811249.0,Sierra Leone
SGP,HIC,5850342.0,146302.0,841189.0,Singapore
SXM,HIC,42882.0,,,Sint Maarten (Dutch part)
SVK,HIC,5457873.0,205285.0,1299213.0,Slovakia
SVN,HIC,2095861.0,70812.0,587043.0,Slovenia
SLB,LMIC,686884.0,6031.0,58780.0,Solomon Islands
SOM,LIC,15893222.0,12608.0,1080070.0,Somalia
ZAF,UMIC,59308690.0,1075564.0,5216144.0,South Africa
SSD,LIC,11193725.0,58103.0,382809.0,South Sudan
ESP,HIC,47332614.0,1663771.0,12528171.0,Spain
LKA,LMIC,21413249.0,151758.0,3633139.0,Sri Lanka
SDN,LIC,43849260.0,203322.0,6958106.0,Sudan
SUR,UMIC,586632.0,8081.0,66327.0,Suriname
SWE,HIC,10327589.0,747436.0,2653352.0,Sweden
CHE,HIC,8654618.0,688378.0,2245767.0,Switzerland
SYR,LIC,17500658.0,189680.0,2003191.0,Syrian Arab Republic
TJK,LMIC,9537642.0,90889.0,584617.0,Tajikistan
TZA,LMIC,59734218.0,215481.0,2628138.0,United Republic of Tanzania
THA,UMIC,69799978.0,683112.0,13962436.0,Thailand
TLS,LMIC,1318445.0,5719.0,89349.0,Timor-Leste
TGO,LIC,8278724.0,44425.0,870455.0,Togo
TKL,Other,1350.0,,,Tokelau
TON,UMIC,105695.0,1026.0,6368.0,Tonga
TTO,HIC,1399488.0,35448.0,245641.0,Trinidad and Tobago
TUN,LMIC,11818619.0,103303.0,1652471.0,Tunisia
TUR,UMIC,84339067.0,1446821.0,11453050.0,Turkey
TKM,UMIC,6031187.0,99117.0,514238.0,Turkmenistan
TCA,HIC,38718.0,,,Turks and Caicos Islands
TUV,UMIC,11792.0,239.0,1171.0,Tuvalu
ARE,HIC,9890402.0,152266.0,359920.0,United Arab Emirates
UGA,LIC,45741007.0,135373.0,3474185.0,Uganda
GBR,HIC,67886004.0,4482763.0,16870737.0,United Kingdom
UKR,LMIC,43733759.0,1241855.0,10447105.0,Ukraine
URY,HIC,3473730.0,138517.0,713402.0,Uruguay
USA,HIC,331002651.0,22440534.0,56719945.0,United States of America
UZB,LMIC,33469199.0,840120.0,2925212.0,Uzbekistan
VUT,LMIC,307145.0,284.0,27830.0,Vanuatu
VEN,UMIC,28435940.0,536427.0,3547021.0,Venezuela
VNM,LMIC,97338579.0,581985.0,8058818.0,Viet Nam
WLF,Other,11246.0,,,Wallis and Futuna
PSE,LMIC,5101414.0,,264251.0,West Bank and Gaza
YEM,LIC,29825964.0,83935.0,1431744.0,Yemen
ZMB,LMIC,18383955.0,94617.0,1454770.0,Zambia
ZWE,LMIC,14862924.0,51323.0,1429104.0,Zimbabwe
